what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276419616671
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276419616671
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276419616796
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276419617890
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276419618125
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276419618125
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276419618234
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276419627906
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1276419630234
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276419630390
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276419630390
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276419631250
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276420042312
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276420043093
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276420046859
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276420047843
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276420049437
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276420049765
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276420050843
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276420051109
stopped,bundle,org.eclipse.mylyn.ide.ant,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.ide.ant",1276420052140
stopped,bundle,org.eclipse.ant.ui,3.4.2.v20091204_r352,"org.eclipse.ant.ui",1276420052234
